Senate District Number,poverty_base,poverty_reform,deep_poverty_base,deep_poverty_reform,pct_change,pct_change_deep,child_poverty_base,child_poverty_reform,child_deep_poverty_base,child_deep_poverty_reform,child_pct_change,child_pct_change_deep
1,0.1209536572,0.1139633651,0.04851386775,0.04496845492,0.0577931437,0.07308039946,0.09981022326,0.07854391352,0.03403638159,0.02296350012,0.2130674499,0.3253248716
10,0.1350831804,0.1262306393,0.04206606058,0.04099077263,0.0655339994,0.02556188864,0.152258261,0.1337521119,0.02177222899,0.01967997328,0.1215444663,0.09609745094
11,0.1751457355,0.1698924183,0.06586815936,0.06505790588,0.02999397738,0.01230114036,0.2049766454,0.1810955414,0.05322292994,0.04993630573,0.1165064634,0.06175203447
12,0.194226133,0.1761764186,0.05629644929,0.04620921573,0.09293144121,0.1791806355,0.2389104208,0.2043800179,0.05153214758,0.03192315649,0.1445328454,0.3805195789
13,0.1243122848,0.1207814625,0.04522079254,0.04309533042,0.02840284316,0.04700187691,0.1308557524,0.1220157571,0.03316487144,0.0292213317,0.06755526658,0.1189071319
14,0.2134408689,0.1866268108,0.08698253219,0.06762532833,0.1256275716,0.2225412778,0.2525049829,0.2022093848,0.09991554339,0.05934258978,0.1991865568,0.4060724912
15,0.1724149676,0.1627286025,0.06022719532,0.05662942819,0.05618053462,0.05973658754,0.1747990308,0.1547747613,0.04393243822,0.03750770693,0.1145559525,0.1462411728
16,0.2076276334,0.1818818821,0.06627916364,0.06254678213,0.1239996376,0.05631304471,0.2324432252,0.1844970765,0.05988634438,0.05190238115,0.2062703639,0.1333185939
17,0.1448232127,0.1344916112,0.05228382769,0.04997941746,0.07133940232,0.04407500997,0.1336444133,0.1092924785,0.02767652044,0.02307576521,0.1822143872,0.166233152
18,0.2965777327,0.271219622,0.08117450982,0.07234015096,0.0855024094,0.1088316872,0.3623834814,0.3083018363,0.08560091392,0.06213920251,0.1492387149,0.2740824874
19,0.2318104222,0.212416397,0.05531713141,0.04765897044,0.08366330151,0.1384410358,0.2887452281,0.2537687742,0.07127372029,0.05079276618,0.121132578,0.2873563218
2,0.1588228551,0.1496584784,0.06239767429,0.05878267606,0.05770187598,0.05793482332,0.1790594469,0.1542098883,0.06487215917,0.05354449058,0.1387782611,0.1746152545
20,0.2288938432,0.20536186,0.06094010529,0.04883751429,0.10280741,0.1985981308,0.2795822581,0.236270055,0.07850891956,0.05111447698,0.1549175668,0.3489341431
21,0.2503164791,0.2266112519,0.08872481491,0.07912130973,0.09470102524,0.1082392247,0.3022861769,0.2498531287,0.1103325739,0.08819083237,0.1734549979,0.2006818182
22,0.285773053,0.264296179,0.07907605418,0.07257350295,0.0751536011,0.08223160969,0.3355086627,0.2848056637,0.06997808896,0.0592213299,0.1511227714,0.153716102
23,0.1846052873,0.1638387307,0.063328597,0.05446819954,0.1124916673,0.1399114758,0.21857288,0.175745006,0.07331665169,0.05281586659,0.1959432205,0.2796197675
24,0.336590669,0.31851751,0.09533122091,0.08665461927,0.05369477149,0.0910153207,0.4064610268,0.3562387594,0.0846991754,0.06008008416,0.1235598597,0.2906650641
25,0.1949134393,0.1897035294,0.06078605803,0.05468963969,0.0267293521,0.1002930366,0.1976843734,0.1838112429,0.06479628675,0.04760185663,0.07017818476,0.2653613499
26,0.1284312038,0.1268094942,0.05101184141,0.04798621137,0.01262706842,0.05931230776,0.09823025638,0.0932367608,0.02826711475,0.01954712993,0.05083459788,0.308485139
27,0.1709316555,0.1619826679,0.05833816877,0.05422869068,0.05235418587,0.0704423567,0.1718514159,0.1504530866,0.05797764809,0.04704689978,0.1245164563,0.1885338346
28,0.1813604209,0.1641364266,0.06365894137,0.05622241316,0.09497107601,0.1168182827,0.1923432455,0.1519503177,0.05339287574,0.03568638683,0.2100043998,0.3316264326
29,0.178739801,0.1606862452,0.06094523984,0.05961585482,0.1010046763,0.0218127786,0.2124292485,0.1725464202,0.05905024252,0.05487858124,0.1877464078,0.07064596357
3,0.150502981,0.1433550676,0.06644272876,0.06251868592,0.04749350004,0.05905902594,0.1314050374,0.115903181,0.03545786591,0.02574791196,0.1179700309,0.2738448495
30,0.3776497055,0.3565371509,0.1179028154,0.1070580642,0.0559051267,0.09198042633,0.486416017,0.4390131309,0.1248332991,0.09906305567,0.09745338231,0.2064372539
31,0.190185887,0.1681379785,0.05444026571,0.04834803954,0.1159282051,0.1119066207,0.2322737353,0.1855776289,0.05466711249,0.04178052446,0.2010391158,0.2357283465
32,0.2328345598,0.215282799,0.06215422246,0.05470360745,0.07538297051,0.1198730306,0.2835313092,0.239904138,0.05778901302,0.04312430346,0.1538707358,0.2537629351
33,0.3480706448,0.3093405029,0.08838546047,0.07725102477,0.111270923,0.1259758747,0.4369909432,0.3524020228,0.1072931131,0.08107603987,0.1935713354,0.2443500097
34,0.2678506645,0.243923294,0.06906568522,0.06479683208,0.08933101052,0.06180859752,0.3560132845,0.3009252089,0.07271465363,0.06212608768,0.1547360111,0.1456180484
35,0.2694020822,0.2429627324,0.0690112889,0.06349463175,0.09814085154,0.0799384744,0.3573786374,0.2970660356,0.0809498088,0.06706449234,0.1687638697,0.1715299476
36,0.1601827594,0.1422575195,0.04986999371,0.03997278051,0.1119049265,0.1984602857,0.2122497552,0.171105974,0.05011729337,0.02506434054,0.1938460713,0.4998863895
37,0.178508926,0.161758224,0.07077970031,0.06721379942,0.09383677534,0.05038027666,0.215656418,0.1724945449,0.05624400954,0.04628200858,0.200141844,0.1771211022
38,0.19975093,0.184108807,0.06009395172,0.05334704262,0.07830813571,0.1122726814,0.2325567627,0.1946529537,0.05807998579,0.04197625884,0.1629873436,0.2772680938
39,0.1680968333,0.1587779262,0.07554267865,0.069735621,0.05543773186,0.07687121712,0.1673017771,0.1378812219,0.0654163709,0.04884123485,0.1758532137,0.2533790215
4,0.1715515429,0.1549131967,0.06460920669,0.06003421599,0.09698744723,0.07081019762,0.1696419587,0.1318332763,0.05574093827,0.0464346811,0.2228734132,0.166955517
40,0.2698114493,0.2502811845,0.08189702851,0.06922226716,0.07238486313,0.1547646061,0.3304101707,0.2901140712,0.0953293644,0.06234295586,0.1219578063,0.3460256842
5,0.1756110867,0.1568130299,0.04896028996,0.0404053867,0.1070436788,0.1747314664,0.2034050949,0.1656695279,0.06044865639,0.03893886001,0.1855192813,0.3558358061
6,0.2039146958,0.1863397656,0.07789789568,0.07108807143,0.0861876587,0.08741987433,0.2446095252,0.2041981716,0.08645154054,0.06865239404,0.1652076038,0.2058858221
7,0.141746364,0.13554655,0.04548903767,0.03970525708,0.04373878723,0.1271466905,0.1581111226,0.1455350349,0.04673341634,0.03257505015,0.07953955103,0.302960222
8,0.1771242928,0.1539644804,0.05247691197,0.0482648624,0.1307545793,0.0802648137,0.2022623909,0.1544335108,0.0438157824,0.03235383183,0.2364694689,0.2615941093
9,0.2289221302,0.2146215806,0.07895129888,0.07287244511,0.06246905715,0.07699498125,0.26651658,0.2276527303,0.07357213727,0.05683420909,0.1458215085,0.2275036284